concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,concept_code,table_name,record_count,patient_count,patient_coverage_pct,value_mean,value_median,value_p25,value_p75,value_min,value_max,units,coverage_Amsterdam UMC,coverage_Amsterdams Medisch Centrum,coverage_Catharina Ziekenhuis Eindhoven,coverage_OLVG,coverage_UMC Utrecht,coverage_Vrije Universiteit Medisch Centrum
36029811,amoxicillin / clavulanate,Drug,RxNorm,Multiple Ingredients,19711,drug_exposure,70341,5308,5.471713673099126,,,,,,,,4.6918739896699915,8.815507500487044,1.1160714285714286,,1.727296519235802,5.633802816901408
40798706,Carbasalate Calcium,Drug,RxNorm Extension,Ingredient,OMOP2721042,drug_exposure,68939,15286,15.757463301995712,,,,,,,,7.767219966092339,35.6857588155075,1.1607142857142858,,28.343365611096573,17.012072434607646
42899937,polyethylene glycol 4000,Drug,RxNorm,Ingredient,1310594,drug_exposure,65540,5588,5.760349661883556,,,,,,,,,,,,42.05705312745355,19.929577464788732
2000000587,albuterol / salbutamol / / Ipratropium bromide / acetylcysteine,Drug,ICUdata,Observable Entity,2000000587,drug_exposure,65395,3564,3.6739238000989607,,,,,,,,,17.343658679135007,,,,
19134009,pirinitramide,Drug,RxNorm,Ingredient,8354,drug_exposure,64920,5675,5.850032986970147,,,,,,,,12.841540827189213,,0.29017857142857145,,1.2823868097356712,3.113682092555332
1713332,amoxicillin,Drug,RxNorm,Ingredient,723,drug_exposure,63929,3817,3.9347270328220354,,,,,,,,2.929464180104877,7.247223845704267,0.5803571428571429,,2.8526563726773095,3.475855130784708
1777806,ceftriaxone,Drug,RxNorm,Ingredient,2193,drug_exposure,63418,13509,13.925655616031667,,,,,,,,12.99530812601033,3.3362556010130526,6.607142857142857,,36.273226903951844,22.248490945674043
1746940,erythromycin,Drug,RxNorm,Ingredient,4053,drug_exposure,61490,7262,7.485980537687613,,,,,,,,9.951504159602571,10.072082602766413,3.482142857142857,,7.092384192619733,9.844064386317907
951511,mupirocin,Drug,RxNorm,Ingredient,42372,drug_exposure,60368,15543,16.022389905987136,,,,,,,,8.638567992745338,4.914280148061563,28.973214285714285,,52.15912064904475,20.699195171026158
1386957,labetalol,Drug,RxNorm,Ingredient,6185,drug_exposure,58650,3297,3.398688767936665,,,,,,,,5.212317154910696,4.290863043054744,1.2053571428571428,,5.705312745354619,2.992957746478873
35741950,Macrogol cetostearyl ether 22,Drug,RxNorm Extension,Ingredient,OMOP2800098,drug_exposure,58602,4430,4.56663367969652,,,,,,,,,21.483537892070913,,,,0.05533199195171026
948515,polyethylene glycols,Drug,RxNorm,Ingredient,8516,drug_exposure,57579,4512,4.651162790697675,,,,,,,,0.7806647478610574,0.10227936879018118,12.321428571428571,,,16.30784708249497
1771162,cefazolin,Drug,RxNorm,Ingredient,2180,drug_exposure,56473,20496,21.128154379020287,,,,,,,,30.674604739187004,10.534774985388662,5.223214285714286,,36.194713425804764,40.11569416498994
906780,metoclopramide,Drug,RxNorm,Ingredient,6915,drug_exposure,55503,9536,9.830117103744021,,,,,,,,6.974726964475812,12.278394700954607,4.910714285714286,,2.2768908662653757,9.914486921529175
1709170,meropenem,Drug,RxNorm,Ingredient,29561,drug_exposure,52930,2438,2.513194788058717,,,,,,,,4.57753420336711,2.0455873758036236,0.9821428571428571,,7.6419785396493065,1.3832997987927564
939506,sodium bicarbonate,Drug,RxNorm,Ingredient,36676,drug_exposure,52453,9176,9.459013689592611,,,,,,,,8.413831171391397,17.820962400155853,3.080357142857143,,7.5634650615022245,9.079476861167002
1353228,vitamin B6,Drug,RxNorm,Ingredient,42954,drug_exposure,51947,3709,3.823396008576612,,,,,,,,,17.207286187414766,,,,
